id,Var,Domains,Subdomains,key
Pe.Pe.11,hle,Pe,Pe.1,hle
Pe.Pe.12,avoid_mort,Pe,Pe.1,avoid_mort
Pe.Pe.21,dementia,Pe,Pe.2,dementia
Pe.Pe.22,musculo,Pe,Pe.2,musculo
Pe.Pe.23,resp,Pe,Pe.2,resp
Pe.Pe.24,cvd,Pe,Pe.2,cvd
Pe.Pe.25,cancer,Pe,Pe.2,cancer
Pe.Pe.26,kidney,Pe,Pe.2,kidney
Pe.Pe.31,disability,Pe,Pe.3,disability
Pe.Pe.32,diff_adls,Pe,Pe.3,diff_adls
Pe.Pe.33,frailty,Pe,Pe.3,frailty
Pe.Pe.41,srwb_sat,Pe,Pe.4,srwb_sat
Pe.Pe.42,srwb_worth,Pe,Pe.4,srwb_worth
Pe.Pe.43,srwb_hap,Pe,Pe.4,srwb_hap
Pe.Pe.44,srwb_anx,Pe,Pe.4,srwb_anx
Pe.Pe.51,suicide,Pe,Pe.5,suicide
Pe.Pe.52,depres,Pe,Pe.5,depres
Pe.Pe.53,self_harm,Pe,Pe.5,self_harm
Li.Li.11,diab,Li,Li.1,diab
Li.Li.12,ow_obs,Li,Li.1,ow_obs
Li.Li.13,hyp_ten,Li,Li.1,hyp_ten
Li.Li.21,alc,Li,Li.2,alc
Li.Li.22,smoke,Li,Li.2,smoke
Li.Li.23,drug,Li,Li.2,drug
Li.Li.24,activity,Li,Li.2,activity
Li.Li.25,eating,Li,Li.2,eating
Li.Li.3,unempl,Li,Li.3,unempl
Li.Li.41,training,Li,Li.4,training
Li.Li.42,low_pay,Li,Li.4,low_pay
Li.Li.43,wp_safety,Li,Li.4,wp_safety
Li.Li.51,inf_mort,Li,Li.5,inf_mort
Li.Li.52,semh_child,Li,Li.5,semh_child
Li.Li.53,ow_obs_child,Li,Li.5,ow_obs_child
Li.Li.54,low_bw,Li,Li.5,low_bw
Li.Li.55,teen_preg,Li,Li.5,teen_preg
Li.Li.56,pov_child,Li,Li.5,pov_child
Li.Li.57,incare_child,Li,Li.5,incare_child
Li.Li.61,in_eet,Li,Li.6,in_eet
Li.Li.62,pupil_abs,Li,Li.6,pupil_abs
Li.Li.63,ey_dev,Li,Li.6,ey_dev
Li.Li.64,ks4_dev,Li,Li.6,ks4_dev
Li.Li.71,can_screen,Li,Li.7,can_screen
Li.Li.72,vac,Li,Li.7,vac
Li.Li.73,sti_screen,Li,Li.7,sti_screen
Pl.Pl.11,pub_greenspace,Pl,Pl.1,pub_greenspace
Pl.Pl.12,priv_greenspace,Pl,Pl.1,priv_greenspace
Pl.Pl.21,air_poll,Pl,Pl.2,air_poll
Pl.Pl.22,trans_noise,Pl,Pl.2,trans_noise
Pl.Pl.23,env_noise,Pl,Pl.2,env_noise
Pl.Pl.24,road_safety,Pl,Pl.2,road_safety
Pl.Pl.25,road_traff,Pl,Pl.2,road_traff
Pl.Pl.31,house_overcrowd,Pl,Pl.3,house_overcrowd
Pl.Pl.32,rough_sleep,Pl,Pl.3,rough_sleep
Pl.Pl.33,house_afford,Pl,Pl.3,house_afford
Pl.Pl.41,GP_dist,Pl,Pl.4,GP_dist
Pl.Pl.42,pharm_dist,Pl,Pl.4,pharm_dist
Pl.Pl.43,sport_dist,Pl,Pl.4,sport_dist
Pl.Pl.5,crime_pers,Pl,Pl.5,crime_pers
